Skype	3	2021-01-12T17:06:39+00:00	It shows my credit in Danish Corona but I live in Finland. I don´t see how to change currency.
Skype	1	2021-01-10T16:58:00+00:00	Disgusting. Skype effectively operated as a scam. Took my money, then won't reconise my microphone. The microphone is in perfect working order. It has worked without problems with endless apps and websites, and I've checked and it still works fine with other apps!
Skype	3	2020-12-28T11:57:59+00:00	"Outdated.

 Simply an outdated platform, it is still a decent one but it is simply old. Most people migrated to other platforms, it is not like skype is bad just... who you gonna talk to there is no one uses it any longer?"
Skype	1	2020-12-27T14:29:41+00:00	"When Skype came out I thought it was a great app but since Microsoft got its claws into it, it got worse and worse.
The interface is terrible. For instance, when you are in call mode or on the contact screen there is no option to return to the main screen where the profile is.
You can't edit a phone number that has been copied and pasted because when you press on the number, it is completely erased and many more inconsistencies that I'm too pissed off to continue writing"
Skype	5	2020-12-20T21:05:07+00:00	My favorite app for business calls.
Skype	4	2020-12-18T21:49:13+00:00	"I use Skype everyday for work, and I must admit I have found it the best out of all the video-conference platforms. 
It's easy to connect and find contacts, you can see who is online, you have a record of how long your calls last, you can voice or video call, you cant send images and chat while on the call.
The only issue I have come across is while screen sharing, Skype starts to massively lag and often cannot keep up. It cannot take the weight of this feature, unlike Zoom for example which is much faster in that regard. However I find it the easiest to use out of all and the most transparent."
Skype	1	2020-12-07T02:54:32+00:00	Very bad customer service. I have no idea how a big company like this can have a hard time replying to its customers???!!! I don't appreciate big companies that are not willing to invest more into customer service.
Skype	1	2020-12-06T16:25:38+00:00	I hate using Skype--much prefer Zoom--but I have to in order to communicate with a certain group of folks.  The reason I hate Skype is that it's technical support for me is totally meaningless.  No, that's not right, it's worse than meaningless, it's misleading.
Skype	5	2020-12-06T13:25:43+00:00	I like the new update of Skype! I am using Skype for my online teaching, and it is very convenient and easy to navigate. So far this is the best platform in terms of the sound quality especially in piano teaching. I am using Skype years ago and the quality is still up to par.
Skype	4	2020-12-01T21:40:13+00:00	Used it only for a few months but did not have any issue. Also their customer service was very quick to resolve my refund request.
Skype	1	2020-12-01T08:01:51+00:00	Customer support is always unavailable. In the meantime I receive automated emails stating that they are going to charge me a monthly fee for something I don't even have a subscription to.
Skype	5	2020-11-30T15:59:09+00:00	Excellent App, it just needs to be faster
Skype	1	2020-11-29T11:48:59+00:00	"The design of Skype is very bad. 
There are boxes, all over the screen, you close one and another opens, sometimes there are two boxes.
There is an emoji that flashes, not sure why, as there are only 8 available, this is very annoying, we use this for business, we don't need a heart emoji flashing during a sales call.
How can Microsoft, not design Skype to be simple and efficient, like Zoom?
Why does it need to be so badly designed?"
Skype	1	2020-11-27T16:13:40+00:00	Purchased a subscription from Skype but the number didn't work.  Tried to get through to CS, but it was impossible.  In the end, I cancelled my subscription.  Stick with the free service.
Skype	4	2020-11-18T12:25:48+00:00	The app itself is very good, but the service can be much better
Skype	1	2020-11-17T11:18:00+00:00	so tired of receiving the microsoft text message to verify my skype for business account, i receive it randomly, for no reason, when it's been verified 100 times before.. and i have to enter the code every time.. so annoying
Skype	1	2020-10-28T10:23:20+00:00	Awful interface.Settings either in wrong places or completely hidden. Grid views never work properly. Caller windows don't appear. People can't see each other. No clear idea why certain video windows don't appear on main screen as grid - or at all - but may still indicate as 'connected' via circular profile icons at top. It's a complete mess.
Skype	1	2020-10-25T15:11:14+00:00	"Signed up as I am sick of being charged ludicrous charges for landline calls. Complete waste of time as recipients don't receive calls from Skype....looked online and suggested adding a caller ID, finally found that and it wouldn't accept either my landline or mobile number as ID....should have guessed M$ would have put the kiss of death on Skype, just look at Windows 10 - a total joke

UPDATE
As I couldn't get it to accept my mobile number and could find no way to contact them, other than automated M$ BS I opened a Paypal dispute and they instantly refunded my money....good riddance, wish I could be refunded for totally useless, waste of everybody's time, Windows 10 too but I didn't buy it as I had it forced onto me when they ended support for Windows 7. Which always worked just fine, usual in denial M$ always thinking they are right but just seriously haven't got a clue"
Skype	1	2020-10-17T05:27:35+00:00	Skype live captions are abysmal!  The text is unreal, and absolutely NOT what’s being spoken!  Nonsensical.  Absolute rubbish.  Why have this app if it just does not work!  Best just remove it.  Totally rubbish. Extremely disappointed as I was hoping to be able to use this app.
Skype	1	2020-10-16T05:59:25+00:00	"cant leave 0 stars. Or negative stars. But If I could I would leave negative stars.  Or a very dark, dark black 1 star. Please do not add up the 1 star ratings from all your unsatisfied customers, you cannot count up the 1 stars to make more stars.  Bad Microsoft.

Unresolved issue about billing after 5 contacts with skype customer support over a month with different but equally unhelpful advice provided at each encounter, acknowledged to be a skype side error rather than a banking error because ""there was a limit on the account are being set automatically by the system/you already reached the purchase limit"".  Please note that even attempting the lowest refill of 3.87USD as suggested by the last manager could not be processed. (brackets: ""I'm sorry sir, your deposit services have been suspended, you have deposited 19USD into our bank over the last month and the system can no longer allow you to deposit 3.87USD: compu'a says no, please try again in a month"".).   Customer support, my suggestion would be change profession to another company: have you tried Viber?

I understand this is a chat forum for microsoft Skype, so I should ask a question to open dialogue: can anyone suggest a better system of VOIP or has anyone tried Viber? 

So just to confirm: my account was created over a month ago (around 9 august), had ~20USD added to the accoun which was used over the last month, and you cannot add USD3.87 credit to the account because ""because the system is not allowing you to purchase since you already reached the purchase limit"". Please confirm this as yes or no.

October 16, 2020, 12:35 pm
User
Yes that is correct. 

October 16, 2020, 12:36 pm
Cyrill"
Skype	3	2021-01-12T17:06:39+00:00	It shows my credit in Danish Corona but I live in Finland. I don´t see how to change currency.
Skype	1	2021-01-10T16:58:00+00:00	Disgusting. Skype effectively operated as a scam. Took my money, then won't reconise my microphone. The microphone is in perfect working order. It has worked without problems with endless apps and websites, and I've checked and it still works fine with other apps!
Skype	3	2020-12-28T11:57:59+00:00	"Outdated.

 Simply an outdated platform, it is still a decent one but it is simply old. Most people migrated to other platforms, it is not like skype is bad just... who you gonna talk to there is no one uses it any longer?"
Skype	1	2020-12-27T14:29:41+00:00	"When Skype came out I thought it was a great app but since Microsoft got its claws into it, it got worse and worse.
The interface is terrible. For instance, when you are in call mode or on the contact screen there is no option to return to the main screen where the profile is.
You can't edit a phone number that has been copied and pasted because when you press on the number, it is completely erased and many more inconsistencies that I'm too pissed off to continue writing"
Skype	5	2020-12-20T21:05:07+00:00	My favorite app for business calls.
Skype	4	2020-12-18T21:49:13+00:00	"I use Skype everyday for work, and I must admit I have found it the best out of all the video-conference platforms. 
It's easy to connect and find contacts, you can see who is online, you have a record of how long your calls last, you can voice or video call, you cant send images and chat while on the call.
The only issue I have come across is while screen sharing, Skype starts to massively lag and often cannot keep up. It cannot take the weight of this feature, unlike Zoom for example which is much faster in that regard. However I find it the easiest to use out of all and the most transparent."
Skype	1	2020-12-07T02:54:32+00:00	Very bad customer service. I have no idea how a big company like this can have a hard time replying to its customers???!!! I don't appreciate big companies that are not willing to invest more into customer service.
Skype	1	2020-12-06T16:25:38+00:00	I hate using Skype--much prefer Zoom--but I have to in order to communicate with a certain group of folks.  The reason I hate Skype is that it's technical support for me is totally meaningless.  No, that's not right, it's worse than meaningless, it's misleading.
